key,zh
group.groupNotFound,分组不存在
group.fetchFailed,获取分组失败
group.createFailed,创建分组失败
group.updateFailed,更新分组失败
group.deleteFailed,删除分组失败
group.nameRequired,请输入分组名称
group.nameLength,分组名1-30字符
group.nameExistsShort,分组名已存在
group.viewInCollections,在收藏页查看
group.collectionCount,{count} 个收藏
group.save,保存
group.subGroupOf,隶属于
group.onlyCurrentGroup,只看当前分组
group.includeSubGroups,包含子分组
group.cannotMoveToDescendant,不能将分组拖到自己的子分组下
share.shareLinks,分享链接
share.createShare,创建分享
share.openShare,打开分享
share.noShares,暂无分享链接
share.createFirst,创建第一个分享
share.createFirstHint,创建第一个分享链接，将内容分享给其他人
share.iCreated,我创建的
share.iReceived,获取的分享
share.noReceived,暂无获取的分享
share.openShareHint,"点击右上角""打开分享""按钮，输入分享码或链接来获取"
share.fromShare,来自分享
share.deleteCollectionConfirm,"删除合集""{name}""及其中的所有收藏？此操作不可撤销。"
share.disabled,已停用
share.disable,停用
share.enable,启用
share.copyLink,复制链接
share.linkCopied,链接已复制到剪贴板
share.copyFailed,复制失败
share.deleteShareConfirm,确定删除此分享？
share.enterShareCode,粘贴 LinkChest 分享链接，如：http://xxx/s/xxx
share.unrecognizedShare,无法识别的分享链接
share.viewShare,查看分享
share.deleteCollection,删除合集
share.typeAll,全部收藏
share.typeGroup,分组
share.typeGroups,分组
share.typeTag,标签
share.typeTags,标签
share.typeMultiGroup,多分组
share.typeMultiTag,多标签
share.typeCollection,收藏
share.typeCollections,收藏
share.typeCustom,自定义收藏
share.itemCount,{count} 个收藏
share.viewCount,{count} 次浏览
share.password,访问密码：
share.copy,复制
share.passwordCopied,密码已复制到剪贴板
share.newWindow,新窗口打开
share.pasteShareLink,粘贴分享链接
share.openShareLink,打开
share.encrypted,已加密
share.create.title,创建分享
share.create.selectRange,选择分享范围
share.create.allCollections,全部收藏
share.create.shareAll,分享所有
share.create.collection,收藏
share.create.multiSelectCollections,多选收藏
share.create.group,分组
share.create.multiSelectGroups,多选分组
share.create.tag,标签
share.create.multiSelectTags,多选标签
share.create.selectCollections,选择收藏
share.create.selectedCount,已选 {count} 个
share.create.searchCollections,搜索收藏...
share.create.noMatchCollections,未找到匹配的收藏
share.create.noCollections,暂无收藏
share.create.selectGroups,选择分组
share.create.noGroups,暂无分组
share.create.selectTags,选择标签
share.create.noTags,暂无标签
share.create.pleaseSelectGroup,请至少选择一个分组
share.create.pleaseSelectTag,请至少选择一个标签
share.create.pleaseSelectCollection,请至少选择一个收藏
share.create.groupShare,分组分享
share.create.groupsShare,{count}个分组分享
share.create.tagShare,标签分享
share.create.tagsShare,{count}个标签分享
share.create.collectionShare,{count}个收藏分享
share.create.settings,分享设置
share.create.shareTitle,分享标题（留空自动生成）
share.create.shareTitlePlaceholder,如：我的抖音收藏精选
share.create.accessPassword,访问密码（可选）
share.create.noPasswordPublic,不设密码则公开访问
share.create.passwordMinLength,密码至少4个字符
share.create.validity,有效期
share.create.1hour,1小时
share.create.1day,1天
share.create.1week,1周
share.create.forever,永久
share.create.remark,备注（可选）
share.create.remarkPlaceholder,给分享添加说明...
share.create.generateLink,生成分享链接
share.create.linkGenerated,分享链接已生成
share.create.copyToShare,复制下方链接分享给朋友
share.create.copyLink,复制链接
share.create.linkCopied,链接已复制
share.create.copyFailed,复制失败，请手动复制链接
share.create.done,完成
share.create.cancel,取消
share.create.createFailed,创建分享失败
share.view.savedToGroup,已保存到分组：{name}
share.view.saveFailed,保存失败
share.view.shareNotFound,分享链接不存在或已失效
share.view.loading,加载中...
share.view.needPassword,需要密码才能保存
share.view.needPasswordDesc,该分享已设置密码，请输入密码后保存
share.view.enterPassword,输入访问密码
share.view.pleaseEnterPassword,请输入密码
share.view.confirmSave,确认保存
share.view.passwordRequired,此分享需要密码
share.view.passwordRequiredDesc,请输入密码查看完整内容
share.view.verifyPassword,验证密码
share.view.passwordWrong,密码错误，请重新输入
share.view.contentLocked,内容已加密
share.view.noCover,无封面
share.view.savedToMyCollections,已保存到我的收藏
share.view.saveToMyCollections,一键保存到我的收藏
share.view.saveResultSaved,保存成功，新增 {count} 个收藏
share.view.saveResultSkipped,所有收藏已存在（{count} 个），已关联到分组
share.view.saveResultEmpty,没有可保存的收藏
share.view.validUntil,有效期至 {date}
share.view.clickToOpen,点击打开
share.view.noContent,暂无收藏内容
share.view.generatedBy,由 LinkChest 生成 · 跨平台收藏聚合工具
share.view.loginToSave,登录后保存到我的收藏
share.view.shareExpired,该分享链接已过期
share.view.passwordSet,已设置访问密码
share.view.passwordUsed,已保存过，无需密码
share.view.importConfirmTitle,确认导入收藏
share.view.importConfirmDesc,分享共 {total} 个收藏，其中 {duplicate} 个已存在，{new} 个新增。重复收藏将关联到新分组。
share.view.importListLimitReached,分组数量已达上限
share.view.importListLimitReachedDesc,当前已有 {current}/{limit} 个分组，请先整理后再导入。
share.view.importCollectionLimitReached,收藏数量已达上限
share.view.importCollectionLimitReachedDesc,继续导入将超过收藏上限（{current}/{limit}）。
share.view.importAlreadyImported,已导入过此分享
share.view.importAlreadyImportedDesc,该分享已保存到「{name}」，不可重复导入。
share.view.importBtn,确认导入
share.view.checkFailed,检查失败，请稍后重试
edit.title,编辑收藏
edit.delete,删除
edit.deleteConfirm,确定要删除这个收藏吗？
edit.saving,保存中...
edit.save,保存
edit.saveSuccess,保存成功
edit.saveFailed,保存失败
edit.linkAddress,链接地址
edit.pasteLinkOrShareText,粘贴链接或APP分享文本
edit.reParse,重新解析
edit.parseFailed,解析失败
edit.supportShareText,支持粘贴抖音、小红书、淘宝等APP的分享文本
edit.titleField,标题
edit.enterTitle,输入标题
edit.platformField,平台
edit.autoDetected,自动识别
edit.unrecognizedPlatform,未识别平台，请确认链接来源
edit.coverImage,封面图片
edit.coverImagePlaceholder,封面图片URL（自动获取或手动填写）
edit.note,备注
edit.addNote,添加备注...
edit.tags,标签
edit.newTag,新建标签
edit.tagExists,"标签""{name}""已存在，是否继续创建？（将自动重命名）"
edit.add,添加
edit.group,分组
edit.groupRequired,分组 *
edit.newGroup,新建分组
edit.groupExists,"分组""{name}""已存在，是否继续创建？（将自动重命名）"
edit.groupNameExists,"分组名""{originalName}""已存在，已自动重命名为""{newName}"""
edit.pleaseSelectGroup,请选择一个分组
edit.syncCover,同步封面
edit.syncingCover,正在同步...
edit.syncCoverSuccess,封面已同步
edit.syncCoverSame,当前封面与源相同
edit.syncCoverFailed,同步封面失败
cover.modeUpload,本地上传
cover.modeUploadDesc,拖拽或选择图片
cover.modeUrl,图片链接
cover.modeUrlDesc,粘贴图片地址
cover.modeAi,AI封面
cover.modeAiDesc,从系统封面选择
cover.modeGradient,平台渐变色
cover.modeGradientDesc,品牌色渐变
cover.modeLibrary,我的封面
cover.modeLibraryDesc,从封面库选择
cover.modeSystem,系统封面
cover.modeSystemDesc,从系统封面选择
cover.noCoversInLibrary,暂无封面
cover.uploadToSeeHere,上传封面后将显示在这里
cover.refreshLibrary,刷新封面库
cover.uploadShareHint,自定义上传封面仅自己可见，分享时将自动使用品牌色封面。
cover.comingSoon,即将上线
cover.uploadTooLarge,图片大小超过 5MB 限制
cover.uploadInvalid,请选择有效的图片文件
cover.uploadFailed,封面上传失败
cover.quotaExceeded,封面存储配额已用完，请清理后重试
cover.dragOrClick,拖拽图片到此处，或点击选择文件
cover.uploading,正在上传...
cover.uploadHint,建议 2MB 以内，服务端将自动压缩至 80KB 以下
cover.urlPlaceholder,粘贴图片 URL
cover.aiComingSoon,AI 封面生成功能即将上线，敬请期待
cover.randomCover,随机封面
cover.tapToUpload,点击上传
cover.uploadProOnly,高级用户专享
cover.upgradeToUpload,升级高级版即可上传自定义封面
cover.gradientHint,使用 {platform} 品牌色渐变作为封面
cover.currentPreview,封面预览
cover.uploadingPreview,上传中...
sidebar.appName,链藏
sidebar.subtitle,跨平台收藏管理
sidebar.addCollection,添加收藏
sidebar.collections,收藏
sidebar.groups,分组
sidebar.tags,标签
sidebar.shares,分享
sidebar.settings,设置
sidebar.tier,等级
sidebar.tierManagement,等级管理
sidebar.darkMode,深色模式
sidebar.lightMode,浅色模式
sidebar.account,用户
sidebar.accountCenter,个人中心
sidebar.logout,退出登录
sidebar.collapse,收起侧边栏
sidebar.expand,展开侧边栏
tier.title,我的等级
tier.currentPlan,当前套餐
tier.upgrade,升级套餐
tier.benefits,权益说明
tier.limits,配额详情
tier.pricing,价格
tier.monthly,月付
tier.yearly,年付
tier.perMonth,{price}/月
tier.perYear,{price}/年
tier.free,免费
tier.current,当前使用
tier.recommended,推荐
tier.collections,收藏
tier.tags,标签
tier.lists,分组
tier.shares,分享
tier.shareItems,分享项
tier.coverImages,封面
tier.maxItemsPerShare,单次分享上限
tier.dailyImportLimit,每日导入上限
tier.upgradeHint,升级以解锁更多功能
tier.comparePlans,套餐对比
tier.backToTier,返回等级详情
common.loading,加载中...
common.loadFailed,加载失败：{error}
common.retry,重试
common.save,保存
common.cancel,取消
common.confirm,确认
common.delete,删除
common.edit,编辑
common.close,关闭
common.undo,撤销
common.operationFailed,操作失败
common.deleteSuccess,删除成功
common.updateSuccess,更新成功
common.createSuccess,创建成功
common.error,错误
common.hint,提示
common.success,成功
common.noData,暂无数据
common.expandAll,全部展开
common.collapseAll,全部折叠
common.tagRenamed,标签名「{originalName}」已存在，已自动重命名为「{name}」
common.listRenamed,分组名「{originalName}」已存在，已自动重命名为「{name}」
common.quotaExceeded,配额超限，请稍后重试或升级套餐。
common.rateLimited,请求过于频繁，请稍后再试
settings.title,收藏设置
settings.description,管理你的收藏数据
settings.stats,数据统计
settings.collections,收藏
settings.groups,分组
settings.shares,分享
settings.shareViews,分享浏览
settings.tags,标签
settings.tagManagement,标签管理
settings.newTag,新建
settings.noTags,暂无标签
settings.noTagsHint,用标签给你的收藏打上关键词吧
settings.editTag,编辑标签
settings.createTag,新建标签
settings.tagName,标签名称
settings.tagExists,"标签""{name}""已存在，是否继续创建？（将自动重命名）"
settings.tagNameExistsAuto,"标签名""{originalName}""已存在，已自动重命名为""{newName}"""
settings.deleteTagConfirm,确定删除此标签？
settings.collectionCount,{count} 个收藏
settings.platformStats,平台统计
settings.noStatsHint,暂无平台统计数据
settings.ecommerce,电商
settings.importExport,导入 / 导出
settings.exportCsv,导出 CSV
settings.exportHtml,导出 HTML 书签
settings.exportFailed,导出失败
settings.importCsv,导入 CSV
settings.importHtml,导入 HTML 书签
settings.importProgress,导入进度
settings.csvEmptyOrInvalid,CSV 文件为空或格式不正确
settings.csvMissingUrl,"CSV 文件缺少""链接""列"
settings.htmlEmptyOrInvalid,HTML 文件为空或格式不正确
settings.noValidData,未找到有效的收藏数据
settings.importConfirm,将导入 {count} 条收藏，重复URL将跳过。继续？
settings.importComplete,导入完成：成功 {success}，跳过 {skipped}，失败 {error}
settings.importFailed,导入失败
settings.importNetworkError,导入失败：无法连接到服务器，请检查网络连接或服务器状态。
settings.importSelectFile,选择文件
settings.importFormatCsv,CSV 格式
settings.importFormatHtml,HTML 书签格式
settings.language,语言
settings.languageZh,中文
settings.languageEn,English
settings.languageJa,日本語
settings.languageKo,한국어
settings.languageFr,Français
settings.appDownload,APP 下载
settings.appDownloadDesc,下载 链藏 APP，收藏并分享你的宝藏
settings.downloadApk,下载 APK
settings.legal,法律信息
download.title,下载 链藏 APP
download.subtitle,收藏并分享你的宝藏 — 跨平台内容聚合管理工具
download.downloadApk,立即下载 APK
download.backToHome,返回首页
download.backToLogin,返回登录
download.feature1Title,全平台收藏
download.feature1Desc,不限平台均可支持，一键保存好内容
download.feature2Title,智能整理
download.feature2Desc,自动识别平台来源，支持标签管理，OG元数据智能提取封面
download.feature3Title,精美分享
download.feature3Desc,将收藏分组生成分享页，支持密码保护和有效期设置，宝藏随时分享给好友
download.feature4Title,安全同步
download.feature4Desc,云端实时同步，多端数据保持一致
download.installGuide,安装指南
download.step1,点击上方「立即下载 APK」按钮下载安装包
download.step2,下载完成后，点击通知栏中的下载完成提示
download.step3,如系统提示「禁止安装未知来源应用」，请前往设置中允许此来源
download.step4,按提示完成安装，打开 APP 即可开始使用
download.systemRequirements,系统要求
download.req1,Android 8.0 (API 26) 或更高版本
download.req2,建议预留 50MB 以上存储空间
download.req3,需要网络连接用于数据同步
download.iosWarning,检测到您使用的是 iOS 设备。链藏目前仅提供 Android 版本，iOS 版本正在开发中。您可以通过浏览器访问网页版使用全部功能。
download.copyright,© 2026 链藏 LinkChest. 保留所有权利。
login.title,登录
login.email,邮箱
login.username,用户名
login.usernamePlaceholder,输入用户名
login.password,密码
login.passwordPlaceholder,输入密码
login.login,登录
login.loggingIn,登录中...
login.loginFailed,登录失败
login.register,注册
login.registering,注册中...
login.registerTitle,注册
login.registerFailed,注册失败
login.noAccount,没有账号？
login.hasAccount,已有账号？
login.goRegister,去注册
login.goLogin,去登录
login.confirmPassword,确认密码
login.confirmPasswordPlaceholder,再次输入密码
login.passwordMismatch,两次密码不一致
login.registerSuccess,注册成功
login.welcomeBack,欢迎回来
login.createAccount,创建账号
login.enterEmail,请输入邮箱
login.enterCode,请输入验证码
login.getCode,获取验证码
login.accountPlaceholder,邮箱
login.forgotPassword,忘记密码？
login.termsNotice,登录即表示同意《服务条款》和《隐私政策》
login.termsPrefix,登录即表示同意
login.termsLink,《服务条款》
login.termsAnd,和
login.privacyLink,《隐私政策》
login.termsSuffix,
login.otherLoginMethods,其他登录方式
login.googleLoginFailed,Google 登录失败，请重试
login.googleSetPasswordPrompt,检测到您通过 Google 登录，建议设置独立密码，以便日后使用邮箱+密码直接登录
login.googleSetPasswordWarning,为了账户安全，建议不要与您的 Google 账户密码一致
login.emailRegister,邮箱注册
login.fillAllFields,请填写所有字段
login.enterAccountAndPassword,请输入账号和密码
login.invalidAccountFormat,请输入有效的邮箱地址
login.invalidEmailFormat,请输入有效的邮箱地址
login.passwordMinLength,密码至少8位，且包含英文大小写和数字
login.enterPassword,请输入密码
login.passwordHint,至少8位，包含英文大小写和数字
login.codeSent,验证码已发送
login.sendCodeFailed,发送验证码失败
login.yourCodeIs,您的验证码是：{code}
login.forgotPasswordHint,功能开发中，请通过邮箱客服找回密码
login.badge,91 个平台 · 私人藏馆 · 一键收藏
login.headline,解锁你的宝库
login.subHeadline,把来自抖音、小红书、B站、淘宝等平台的内容，整理成属于你自己的私人收藏馆。
login.feature1Label,一键收录
login.feature1Desc,粘贴即保存
login.feature2Label,91+平台
login.feature2Desc,全网内容聚合
login.feature3Label,链接分享
login.feature3Desc,一键分享好内容
login.langZh,中文
terms.title,服务条款
privacy.title,隐私政策
account.pageTitle,账号与安全
account.pageDesc,管理你的账号信息
account.accountInfo,账号信息
account.dangerZone,危险操作
account.deleteAccount,删除账号
account.deleteAccountDesc,永久删除你的账号和所有数据，此操作不可恢复
account.deleteAccountConfirmPhrase,删除我的账号
account.deleteAccountFailed,删除账号失败
account.irreversibleWarning,⚠️ 此操作不可恢复！
account.dataWillBeDeleted,你的所有收藏、标签、分组和分享数据将被永久删除。
account.enterToConfirm,请输入 
account.toConfirmDelete, 以确认删除：
account.deleting,删除中...
account.permanentlyDelete,永久删除
account.set,已设置
account.title,账号设置
account.username,用户名
account.notSet,未设置
account.nicknameFallback,Google 用户
account.password,密码
account.googleEmailLocked,Google 登录邮箱不可修改
account.setPassword,设置密码
account.changePassword,修改密码
account.passwordHint,至少8位，包含英文大小写和数字
account.oldPassword,旧密码
account.newPassword,新密码
account.confirmNewPassword,确认新密码
account.passwordMinLength,密码至少8位，且包含英文大小写和数字
account.passwordMismatch,两次密码不一致
account.passwordChangeSuccess,密码修改成功
account.passwordSetSuccess,密码设置成功
account.email,邮箱
account.notBound,未绑定
account.bindEmail,绑定邮箱
account.changeEmail,修改邮箱
account.verifyCode,验证码
account.pleaseEnterEmail,请输入邮箱
account.serverAddress,服务器地址
account.advancedSetting,高级设置，修改后可能无法连接
account.setUsername,设置用户名
account.usernamePlaceholder,2-20位字母、数字、下划线或中文
account.saveSuccess,保存成功
account.saveFailed,保存失败
account.pleaseEnterUsername,请输入用户名
account.pleaseFillComplete,请填写完整
account.passwordSetFailed,设置密码失败
account.passwordChangeFailed,修改密码失败
account.emailBindSuccess,邮箱绑定成功
account.pleaseEnterEmailAddr,请输入邮箱地址
account.phoneChangeSuccess,手机号换绑成功
account.phoneChangeFailed,换绑失败
account.newPhone,新手机号
account.codeSent,验证码已发送
account.sendCodeFailed,发送验证码失败
account.checking,检查中...
account.usernameAvailable,用户名可用
account.usernameTaken,用户名已被占用
account.getCode,获取验证码
account.confirmChange,确认换绑
account.yourCodeIs,"您的验证码是：{code}
（当前无短信服务，验证码直接显示）"
account.serverUpdateSuccess,服务器地址已更新，请重新登录
account.serverSetFailed,设置失败
account.serverResetSuccess,已恢复默认服务器地址
account.serverResetFailed,重置失败
account.pleaseEnterServer,请输入服务器地址
account.serverPlaceholder,例如：http://192.168.0.104:3001
account.serverWarning,⚠️ 仅在开发调试时修改，错误配置将导致无法连接服务器
account.serverHint,输入服务器地址（不含 /api 后缀）
account.resetDefault,恢复默认
account.avatar,头像
account.changeAvatar,更换头像
account.avatarHint,建议上传正方形图片，将自动裁剪为 200x200
account.deleteAvatarBtn,删除头像
account.avatarUploadFailed,头像上传失败
account.avatarDeleteFailed,头像删除失败
account.localUpload,从电脑导入
account.selectFromCover,从封面库选择
add.title,添加收藏
add.linkOrShareText,链接或分享文本 *
add.pasteLinkPlaceholder,粘贴链接或APP分享文本（支持抖音、小红书、淘宝等）
add.parsingShareText,正在解析分享文本...
add.parsingLink,正在解析链接...
add.resolvingShortLink,正在还原短链...
add.fetchingPageInfo,正在获取页面信息...
add.autoDetectedAs,已自动识别为：{platform}
add.shortLinkResolved,（短链已还原）
add.parseFailed,解析失败
add.duplicateWarning,该链接已收藏过：{title}
add.titleDuplicateWarning,已存在同名收藏：{title}（仍可继续保存）
add.supportShareText,支持直接粘贴抖音、小红书、淘宝等APP的分享文本
add.titleField,标题 *
add.enterTitle,输入标题
add.coverImage,封面图片
add.coverImagePlaceholder,封面图片URL（自动获取或手动填写）
add.platformField,平台
add.noteField,备注（可选，最多100字）
add.addNote,添加备注...
add.tags,标签
add.selectTags,选择标签
add.selectedTags,已选
add.addToGroup,添加到分组 *
add.selectGroup,选择分组
add.pleaseEnterValidLink,请输入有效的链接或分享文本
add.pleaseSelectGroup,请选择一个分组
add.saveCollection,保存收藏
add.saveFailed,保存失败
add.noTitle,无标题
add.createTag,创建标签
add.createGroup,创建分组
add.tagNamePlaceholder,输入标签名称
add.groupNamePlaceholder,输入分组名称
add.quickSelectPlatform,快速选择平台
add.viewMorePlatforms,查看更多平台
add.collapseMorePlatforms,收起更多平台
add.levelPlatforms,级平台
tag.management,标签管理
tag.allTags,全部标签
tag.newTag,新建标签
tag.editTag,编辑标签
tag.tagName,标签名称
tag.noTags,暂无标签
tag.tagExists,"标签""{name}""已存在，是否继续创建？（将自动重命名）"
tag.tagNameExistsAuto,"标签名""{originalName}""已存在，已自动重命名为""{newName}"""
tag.deleteConfirm,确定删除此标签？
tag.collectionCount,{count} 个收藏
tag.save,保存
tag.add,添加
tag.viewInCollections,在收藏页查看
tag.coverPreview,封面预览
tag.defaultCover,默认封面
errors.SHARE_FETCH_FAILED,获取分享列表失败
errors.SHARE_CREATE_FAILED,创建分享失败
errors.SHARE_DELETE_SUCCESS,分享已删除
errors.SHARE_DELETE_FAILED,删除分享失败
errors.SHARE_NOT_FOUND,分享不存在
errors.SHARE_TOGGLE_FAILED,更新分享状态失败
errors.SHARE_LIST_IDS_REQUIRED,请至少选择一个分组
errors.SHARE_TAG_IDS_REQUIRED,请至少选择一个标签
errors.SHARE_COLLECTION_IDS_REQUIRED,请至少选择一个收藏
errors.SHARE_NO_COLLECTIONS,没有可分享的收藏
error.unknown,发生了未知错误
error.server,服务器错误，请稍后重试
error.verificationSendTooFrequent,发送太频繁，请60秒后重试
error.verificationExpired,验证码已过期，请重新获取
error.verificationInvalid,验证码错误
error.verificationAttemptsExceeded,验证码错误次数过多，请重新获取
error.accountNotFound,该账号未注册，请先注册
error.passwordIncorrect,密码错误
error.accountNotSetPassword,该账号未设置密码
error.accountGoogleNoPassword,该账户通过 Google 登录，请使用 Google 登录后设置密码
error.emailAlreadyRegistered,该邮箱已被注册
error.usernameAlreadyExists,用户名已被使用
error.usernameContainsBannedWords,用户名包含违禁词
error.invalidEmailFormat,请输入有效的邮箱地址
error.invalidPasswordFormat,密码至少8位，且包含英文大小写和数字
error.passwordMismatch,两次密码不一致
error.usernameInvalidFormat,用户名格式不正确
error.tokenInvalid,登录已过期，请重新登录
error.tokenExpired,登录已过期，请重新登录
error.unauthorized,未授权，请重新登录
error.userNotFound,用户不存在
error.googleEmailCannotChange,Google 登录用户的邮箱不可修改
error.pageTitle,页面出错了
error.pageDesc,抱歉，应用遇到了意外错误。请尝试刷新页面或返回首页。
error.appError,应用发生异常
error.refresh,刷新页面
error.retry,重试
error.backHome,返回首页
