来源(Source),分类(Namespace),键名(Key),中文(ZH),英文(EN),法语(FR),德语(DE),日语(JA),韩语(KO),备注(Context)
web,collection,collection.batchMoveToGroup,批量移动到分组,Batch Move to Group,,,,,
web,collection,collection.cancel,取消,Cancel,,,,,
web,collection,collection.clearFilter,清除筛选,Clear Filters,,,,,
web,collection,collection.default,默认,Default,,,,,
web,collection,collection.delete,删除,Delete,,,,,
web,collection,collection.deleteConfirm,确定删除此收藏？,Delete this bookmark?,,,,,
web,collection,collection.deleted,已删除「{title}」,"Deleted ""{title}""",,,,,
web,collection,collection.deselectAll,全不选,Deselect All,,,,,
web,collection,collection.detail.delete,删除,Delete,,,,,
web,collection,collection.detail.edit,编辑,Edit,,,,,
web,collection,collection.detail.groups,分组,Groups,,,,,
web,collection,collection.detail.note,备注,Note,,,,,
web,collection,collection.detail.openLink,打开链接,Open Link,,,,,
web,collection,collection.detail.tags,标签,Tags,,,,,
web,collection,collection.filter.allGroups,全部分组,All Groups,,,,,
web,collection,collection.filter.allTags,全部标签,All Tags,,,,,
web,collection,collection.filter.clear,清除,Clear,,,,,
web,collection,collection.filter.group,分组,Group,,,,,
web,collection,collection.filter.platform,平台,Platform,,,,,
web,collection,collection.filter.tag,标签,Tag,,,,,
web,collection,collection.filterTitle,筛选,Filter,,,,,
web,collection,collection.gridView,网格视图,Grid View,,,,,
web,collection,collection.listView,列表视图,List View,,,,,
web,collection,collection.loadMore,加载全部收藏,Load all bookmarks,,,,,
web,collection,collection.moveToGroup,移到分组,Move to Group,,,,,
web,collection,collection.moveToGroupTitle,移动到分组,Move to Group,,,,,
web,collection,collection.myCollections,我的收藏,My Collections,,,,,
web,collection,collection.noCollections,暂无收藏,No collections yet,,,,,
web,collection,collection.noCollectionsHint,快去收集你的第一个内容吧！,Start saving your favorite content!,,,,,
web,collection,collection.noCollectionsInFilter,「{label}」中没有收藏内容,"No collections in ""{label}""",,,,,
web,collection,collection.noGroupFilter,当前未按分组筛选,Not filtering by group,,,,,
web,collection,collection.removeFromGroupConfirm,确定将 {count} 个收藏从当前分组移除？,Remove {count} bookmarks from current group?,,,,,
web,collection,collection.removeGroup,移出分组,Remove from Group,,,,,
web,collection,collection.removeTag,移除标签,Remove Tag,,,,,
web,collection,collection.searchPlaceholder,搜索标题、备注、标签...,"Search titles, notes, tags...",,,,,
web,collection,collection.selectAll,全选,Select All,,,,,
web,collection,collection.selectTagsToAdd,选择要添加的标签：,Select tags to add:,,,,,
web,collection,collection.selectTargetGroup,选择目标分组：,Select target group:,,,,,
web,collection,collection.selected,已选 {count},{count} selected,,,,,
web,collection,collection.selectedItems,已选 {count} 项,{count} items selected,,,,,
web,collection,collection.selectedItemsTarget,已选 {count} 个收藏 → 选择{target},{count} selected → Select {target},,,,,
web,collection,collection.showCount,已显示 {shown} / {total} 条收藏,Showing {shown} / {total} bookmarks,,,,,
web,collection,collection.table.actions,操作,Actions,,,,,
web,collection,collection.table.groups,分组,Groups,,,,,
web,collection,collection.table.platform,平台,Platform,,,,,
web,collection,collection.table.tags,标签,Tags,,,,,
web,collection,collection.table.title,标题,Title,,,,,
web,collection,collection.undoFailed,撤销失败，请手动重新添加,"Undo failed, please add manually",,,,,
web,common,common.cancel,取消,Cancel,,,,,
web,common,common.close,关闭,Close,,,,,
web,common,common.collapseAll,全部折叠,Collapse All,,,,,
web,common,common.confirm,确认,Confirm,,,,,
web,common,common.createSuccess,创建成功,Created successfully,,,,,
web,common,common.delete,删除,Delete,,,,,
web,common,common.deleteSuccess,删除成功,Deleted successfully,,,,,
web,common,common.edit,编辑,Edit,,,,,
web,common,common.error,错误,Error,,,,,
web,common,common.expandAll,全部展开,Expand All,,,,,
web,common,common.hint,提示,Hint,,,,,
web,common,common.listRenamed,分组名「{originalName}」已存在，已自动重命名为「{name}」,"List name ""{originalName}"" already exists, auto-renamed to ""{name}""",,,,,
web,common,common.loadFailed,加载失败：{error},Load failed: {error},,,,,
web,common,common.loading,加载中...,Loading...,,,,,
web,common,common.noData,暂无数据,No data,,,,,
web,common,common.operationFailed,操作失败,Operation failed,,,,,
web,common,common.quotaExceeded,配额超限，请稍后重试或升级套餐。,Quota exceeded. Please try again later or upgrade your plan.,,,,,
web,common,common.rateLimited,请求过于频繁，请稍后再试,Too many requests. Please try again later.,,,,,
web,common,common.retry,重试,Retry,,,,,
web,common,common.save,保存,Save,,,,,
web,common,common.success,成功,Success,,,,,
web,common,common.tagRenamed,标签名「{originalName}」已存在，已自动重命名为「{name}」,"Tag name ""{originalName}"" already exists, auto-renamed to ""{name}""",,,,,
web,common,common.undo,撤销,Undo,,,,,
web,common,common.updateSuccess,更新成功,Updated successfully,,,,,
web,cover,cover.aiComingSoon,AI 封面生成功能即将上线，敬请期待,AI cover generation is coming soon,,,,,
web,cover,cover.comingSoon,即将上线,Coming Soon,,,,,
web,cover,cover.currentPreview,封面预览,Cover Preview,,,,,
web,cover,cover.dragOrClick,拖拽图片到此处，或点击选择文件,"Drag image here, or click to select",,,,,
web,cover,cover.gradientHint,使用 {platform} 品牌色渐变作为封面,Use {platform} brand color gradient as cover,,,,,
web,cover,cover.modeAi,AI封面,AI Generate,,,,,
web,cover,cover.modeAiDesc,从系统封面选择,Smart cover generation,,,,,
web,cover,cover.modeGradient,平台渐变色,Platform Gradient,,,,,
web,cover,cover.modeGradientDesc,品牌色渐变,Brand color gradient,,,,,
web,cover,cover.modeLibrary,我的封面,My Covers,,,,,
web,cover,cover.modeLibraryDesc,从封面库选择,Choose from library,,,,,
web,cover,cover.modeSystem,系统封面,System Covers,,,,,
web,cover,cover.modeSystemDesc,从系统封面选择,Choose from system covers,,,,,
web,cover,cover.modeUpload,本地上传,Local Upload,,,,,
web,cover,cover.modeUploadDesc,拖拽或选择图片,Drag or select image,,,,,
web,cover,cover.modeUrl,图片链接,Image URL,,,,,
web,cover,cover.modeUrlDesc,粘贴图片地址,Paste image address,,,,,
web,cover,cover.noCoversInLibrary,暂无封面,No covers yet,,,,,
web,cover,cover.quotaExceeded,封面存储配额已用完，请清理后重试,"Cover storage quota exceeded, please free up space",,,,,
web,cover,cover.randomCover,随机封面,,,,,,
web,cover,cover.refreshLibrary,刷新封面库,Refresh library,,,,,
web,cover,cover.tapToUpload,点击上传,,,,,,
web,cover,cover.upgradeToUpload,升级高级版即可上传自定义封面,Upgrade to Pro to upload custom covers,,,,,
web,cover,cover.uploadFailed,封面上传失败,Cover upload failed,,,,,
web,cover,cover.uploadHint,建议 2MB 以内，服务端将自动压缩至 80KB 以下,"Recommend under 2MB, server will auto-compress to under 80KB",,,,,
web,cover,cover.uploadInvalid,请选择有效的图片文件,Please select a valid image file,,,,,
web,cover,cover.uploadProOnly,高级用户专享,Pro Feature,,,,,
web,cover,cover.uploadToSeeHere,上传封面后将显示在这里,Uploaded covers will appear here,,,,,
web,cover,cover.uploadTooLarge,图片大小超过 5MB 限制,Image exceeds 5MB limit,,,,,
web,cover,cover.uploading,正在上传...,Uploading...,,,,,
web,cover,cover.uploadingPreview,上传中...,Uploading...,,,,,
web,cover,cover.urlPlaceholder,粘贴图片 URL,Paste image URL,,,,,
web,download,download.backToHome,返回首页,Back to Home,,,,,
web,download,download.backToLogin,返回登录,Back to Login,,,,,
web,download,download.copyright,© 2026 链藏 LinkChest. 保留所有权利。,© 2026 LinkChest. All rights reserved.,,,,,
web,download,download.downloadApk,立即下载 APK,Download APK Now,,,,,
web,download,download.feature1Desc,不限平台均可支持，一键保存好内容,"Unlimited platform support, save great content with one click",,,,,
web,download,download.feature1Title,全平台收藏,All-Platform Collection,,,,,
web,download,download.feature2Desc,自动识别平台来源，支持标签管理，OG元数据智能提取封面,"Auto-detects platform source, supports tags and OG metadata smart cover extraction",,,,,
web,download,download.feature2Title,智能整理,Smart Organization,,,,,
web,download,download.feature3Desc,将收藏分组生成分享页，支持密码保护和有效期设置，宝藏随时分享给好友,"Generate share pages from your collections, with password protection and expiry settings",,,,,
web,download,download.feature3Title,精美分享,Beautiful Sharing,,,,,
web,download,download.feature4Desc,云端实时同步，多端数据保持一致,Real-time cloud sync keeps data consistent across devices,,,,,
web,download,download.feature4Title,安全同步,Secure Sync,,,,,
web,download,download.installGuide,安装指南,Installation Guide,,,,,
web,download,download.iosWarning,检测到您使用的是 iOS 设备。链藏目前仅提供 Android 版本，iOS 版本正在开发中。您可以通过浏览器访问网页版使用全部功能。,You are using an iOS device. LinkChest currently only supports Android. iOS version is under development. Please use the web version via browser.,,,,,
web,download,download.req1,Android 8.0 (API 26) 或更高版本,Android 8.0 (API 26) or higher,,,,,
web,download,download.req2,建议预留 50MB 以上存储空间,Recommend 50MB+ free storage,,,,,
web,download,download.req3,需要网络连接用于数据同步,Network connection required for sync,,,,,
web,download,download.step1,点击上方「立即下载 APK」按钮下载安装包,Click the 'Download APK Now' button above,,,,,
web,download,download.step2,下载完成后，点击通知栏中的下载完成提示,"After download completes, tap the notification",,,,,
web,download,download.step3,如系统提示「禁止安装未知来源应用」，请前往设置中允许此来源,"If prompted, allow installation from this source in settings",,,,,
web,download,download.step4,按提示完成安装，打开 APP 即可开始使用,Follow the prompts to complete installation,,,,,
web,download,download.subtitle,收藏并分享你的宝藏 — 跨平台内容聚合管理工具,Collect and share your treasures — Cross-platform content aggregation tool,,,,,
web,download,download.systemRequirements,系统要求,System Requirements,,,,,
web,download,download.title,下载 链藏 APP,Download LinkChest APP,,,,,
web,edit,edit.add,添加,Add,,,,,
web,edit,edit.addNote,添加备注...,Add a note...,,,,,
web,edit,edit.autoDetected,自动识别,Auto-detected,,,,,
web,edit,edit.coverImage,封面图片,Cover Image,,,,,
web,edit,edit.coverImagePlaceholder,封面图片URL（自动获取或手动填写）,Cover image URL (auto-fetched or manual),,,,,
web,edit,edit.delete,删除,Delete,,,,,
web,edit,edit.deleteConfirm,确定要删除这个收藏吗？,Delete this bookmark?,,,,,
web,edit,edit.enterTitle,输入标题,Enter title,,,,,
web,edit,edit.group,分组,Group,,,,,
web,edit,edit.groupExists,"分组""{name}""已存在，是否继续创建？（将自动重命名）","Group ""{name}"" already exists. Create anyway? (will auto-rename)",,,,,
web,edit,edit.groupNameExists,"分组名""{originalName}""已存在，已自动重命名为""{newName}""","Group ""{originalName}"" already exists, auto-renamed to ""{newName}""",,,,,
web,edit,edit.groupRequired,分组 *,Group *,,,,,
web,edit,edit.linkAddress,链接地址,Link URL,,,,,
web,edit,edit.newGroup,新建分组,New Group,,,,,
web,edit,edit.newTag,新建标签,New Tag,,,,,
web,edit,edit.note,备注,Note,,,,,
web,edit,edit.parseFailed,解析失败,Parse failed,,,,,
web,edit,edit.pasteLinkOrShareText,粘贴链接或APP分享文本,Paste URL or app share text,,,,,
web,edit,edit.platformField,平台,Platform,,,,,
web,edit,edit.pleaseSelectGroup,请选择一个分组,Please select a group,,,,,
web,edit,edit.reParse,重新解析,Re-parse,,,,,
web,edit,edit.save,保存,Save,,,,,
web,edit,edit.saveFailed,保存失败,Save failed,,,,,
web,edit,edit.saveSuccess,保存成功,Saved successfully,,,,,
web,edit,edit.saving,保存中...,Saving...,,,,,
web,edit,edit.supportShareText,支持粘贴抖音、小红书、淘宝等APP的分享文本,"Supports pasting share text from X, YouTube, TikTok, etc.",,,,,
web,edit,edit.syncCover,同步封面,Sync Cover,,,,,
web,edit,edit.syncCoverFailed,同步封面失败,Failed to sync cover,,,,,
web,edit,edit.syncCoverSame,当前封面与源相同,Already the same as source,,,,,
web,edit,edit.syncCoverSuccess,封面已同步,Cover synced,,,,,
web,edit,edit.syncingCover,正在同步...,Syncing...,,,,,
web,edit,edit.tagExists,"标签""{name}""已存在，是否继续创建？（将自动重命名）","Tag ""{name}"" already exists. Create anyway? (will auto-rename)",,,,,
web,edit,edit.tags,标签,Tags,,,,,
web,edit,edit.title,编辑收藏,Edit Bookmark,,,,,
web,edit,edit.titleField,标题,Title,,,,,
web,edit,edit.unrecognizedPlatform,未识别平台，请确认链接来源,Unrecognized platform. Please verify the link source.,,,,,
web,error,error.accountGoogleNoPassword,该账户通过 Google 登录，请使用 Google 登录后设置密码,This account uses Google login. Please log in with Google and set a password afterwards,,,,,
web,error,error.accountNotFound,该账号未注册，请先注册,"Account not found, please register first",,,,,
web,error,error.accountNotSetPassword,该账号未设置密码,Password not set for this account,,,,,
web,error,error.appError,应用发生异常,Application Error,,,,,
web,error,error.backHome,返回首页,Back to Home,,,,,
web,error,error.emailAlreadyRegistered,该邮箱已被注册,This email is already registered,,,,,
web,error,error.googleEmailCannotChange,Google 登录用户的邮箱不可修改,Google login users cannot change their email,,,,,
web,error,error.invalidEmailFormat,请输入有效的邮箱地址,Please enter a valid email address,,,,,
web,error,error.invalidPasswordFormat,密码至少8位，且包含英文大小写和数字,"Password must be at least 8 characters with uppercase, lowercase, and numbers",,,,,
web,error,error.pageDesc,抱歉，应用遇到了意外错误。请尝试刷新页面或返回首页。,"Sorry, an unexpected error occurred. Try refreshing the page or go back to home.",,,,,
web,error,error.pageTitle,页面出错了,Something went wrong,,,,,
web,error,error.passwordIncorrect,密码错误,Incorrect password,,,,,
web,error,error.passwordMismatch,两次密码不一致,Passwords do not match,,,,,
web,error,error.refresh,刷新页面,Refresh Page,,,,,
web,error,error.retry,重试,Retry,,,,,
web,error,error.server,服务器错误，请稍后重试,"Server error, please try again later",,,,,
web,error,error.tokenExpired,登录已过期，请重新登录,"Session expired, please login again",,,,,
web,error,error.tokenInvalid,登录已过期，请重新登录,"Session expired, please login again",,,,,
web,error,error.unauthorized,未授权，请重新登录,"Unauthorized, please login again",,,,,
web,error,error.unknown,发生了未知错误,An unknown error occurred,,,,,
web,error,error.userNotFound,用户不存在,User not found,,,,,
web,error,error.usernameAlreadyExists,用户名已被使用,Username already taken,,,,,
web,error,error.usernameContainsBannedWords,用户名包含违禁词,Username contains prohibited words,,,,,
web,error,error.usernameInvalidFormat,用户名格式不正确,Invalid username format,,,,,
web,error,error.verificationAttemptsExceeded,验证码错误次数过多，请重新获取,"Too many failed attempts, please get a new code",,,,,
web,error,error.verificationExpired,验证码已过期，请重新获取,"Verification code expired, please get a new one",,,,,
web,error,error.verificationInvalid,验证码错误,Invalid verification code,,,,,
web,error,error.verificationSendTooFrequent,发送太频繁，请60秒后重试,"Sent too frequently, please retry after 60 seconds",,,,,
web,errors,errors.SHARE_COLLECTION_IDS_REQUIRED,请至少选择一个收藏,Please select at least one bookmark,,,,,
web,errors,errors.SHARE_CREATE_FAILED,创建分享失败,Failed to create share,,,,,
web,errors,errors.SHARE_DELETE_FAILED,删除分享失败,Failed to delete share,,,,,
web,errors,errors.SHARE_DELETE_SUCCESS,分享已删除,Share deleted successfully,,,,,
web,errors,errors.SHARE_FETCH_FAILED,获取分享列表失败,Failed to load shares,,,,,
web,errors,errors.SHARE_LIST_IDS_REQUIRED,请至少选择一个分组,Please select at least one group,,,,,
web,errors,errors.SHARE_NOT_FOUND,分享不存在,Share not found,,,,,
web,errors,errors.SHARE_NO_COLLECTIONS,没有可分享的收藏,No collections available to share,,,,,
web,errors,errors.SHARE_TAG_IDS_REQUIRED,请至少选择一个标签,Please select at least one tag,,,,,
web,errors,errors.SHARE_TOGGLE_FAILED,更新分享状态失败,Failed to update share status,,,,,
web,group,group.cannotMoveToDescendant,不能将分组拖到自己的子分组下,Cannot move a group into its own subgroup,,,,,
web,group,group.collectionCount,{count} 个收藏,{count} bookmarks,,,,,
web,group,group.createFailed,创建分组失败,Failed to create group,,,,,
web,group,group.defaultGroupNoDelete,默认分组不可删除,Default group cannot be deleted,,,,,
web,group,group.defaultName,我的收藏,My Collections,,,,,
web,group,group.deleteConfirm,"删除分组""{name}""？其中的收藏将转移到默认分组。","Delete group ""{name}""? Bookmarks in this group will be moved to the default group.",,,,,
web,group,group.deleteConfirmWithChildren,"删除分组""{name}""？其中的收藏将转移到默认分组，子分组将提升到父级。","Delete group ""{name}""? Bookmarks will be moved to the default group, and subgroups will be promoted to parent level.",,,,,
web,group,group.deleteFailed,删除分组失败,Failed to delete group,,,,,
web,group,group.deleteSuccessWithChildren,删除成功，{count} 个子分组已提升到父级。,"Deleted successfully, {count} subgroups moved to parent level.",,,,,
web,group,group.description,描述（可选）,Description (optional),,,,,
web,group,group.editGroup,编辑分组,Edit Group,,,,,
web,group,group.fetchFailed,获取分组失败,Failed to fetch groups,,,,,
web,group,group.groupName,分组名称,Group Name,,,,,
web,group,group.groupNotFound,分组不存在,Group not found,,,,,
web,group,group.includeSubGroups,包含子分组,Include Subgroups,,,,,
web,group,group.management,分组管理,Group Management,,,,,
web,group,group.nameExists,"分组""{name}""已存在，是否继续创建？（将自动重命名）","Group ""{name}"" already exists. Create anyway? (will auto-rename)",,,,,
web,group,group.nameExistsAuto,"分组名""{originalName}""已存在，已自动重命名为""{newName}""","Group ""{originalName}"" already exists, auto-renamed to ""{newName}""",,,,,
web,group,group.nameExistsShort,分组名已存在,Group name already exists,,,,,
web,group,group.nameLength,分组名1-30字符,Group name must be 1-30 characters,,,,,
web,group,group.nameRequired,请输入分组名称,Please enter a group name,,,,,
web,group,group.newGroup,新建分组,New Group,,,,,
web,group,group.newSubGroup,新建子分组,New Subgroup,,,,,
web,group,group.noGroups,暂无分组,No groups yet,,,,,
web,group,group.noGroupsHint,创建分组来更好地整理你的收藏内容,Create groups to organize your collections,,,,,
web,group,group.onlyCurrentGroup,只看当前分组,Current Group Only,,,,,
web,group,group.save,保存,Save,,,,,
web,group,group.subGroupOf,隶属于,Subgroup of,,,,,
web,group,group.updateFailed,更新分组失败,Failed to update group,,,,,
web,group,group.viewInCollections,在收藏页查看,View in Collections,,,,,
web,login,login.accountPlaceholder,邮箱,Email,,,,,
web,login,login.badge,91 个平台 · 私人藏馆 · 一键收藏,91 Platforms · Private Vault · One-click Save,,,,,
web,login,login.codeSent,验证码已发送,Verification code sent,,,,,
web,login,login.confirmPassword,确认密码,Confirm Password,,,,,
web,login,login.confirmPasswordPlaceholder,再次输入密码,Enter password again,,,,,
web,login,login.createAccount,创建账号,Create Account,,,,,
web,login,login.email,邮箱,Email,,,,,
web,login,login.emailRegister,邮箱注册,Email Register,,,,,
web,login,login.enterAccountAndPassword,请输入账号和密码,Please enter account and password,,,,,
web,login,login.enterCode,请输入验证码,Enter verification code,,,,,
web,login,login.enterEmail,请输入邮箱,Enter email,,,,,
web,login,login.enterPassword,请输入密码,Enter password,,,,,
web,login,login.feature1Desc,粘贴即保存,Paste to Save,,,,,
web,login,login.feature1Label,一键收录,One-click Save,,,,,
web,login,login.feature2Desc,全网内容聚合,All-in-one Content,,,,,
web,login,login.feature2Label,91+平台,91+ Platforms,,,,,
web,login,login.feature3Desc,一键分享好内容,Share with Ease,,,,,
web,login,login.feature3Label,链接分享,Share Links,,,,,
web,login,login.fillAllFields,请填写所有字段,Please fill in all fields,,,,,
web,login,login.forgotPassword,忘记密码？,Forgot Password?,,,,,
