key,zh
collection.batchMoveToGroup,批量移动到分组
collection.batchAddTags,批量添加标签
collection.deleted,收藏已删除
collection.loadFailed,加载失败，请返回重试
collection.notExist,收藏不存在
collection.goBack,返回
collection.originalLink,原链接
collection.addedTime,添加时间
collection.cannotOpenLink,无法打开此链接，请尝试手动复制打开
collection.deleteWithNoRecover,"确定要删除""{title}""吗？此操作不可恢复。"
collection.added,收藏已添加
collection.pleaseFillLinkTitle,请填写链接和标题
collection.contentLink,内容链接 *
collection.pasteLinkPlaceholder,粘贴链接或APP分享文本
collection.parsing,解析中...
collection.parseResultEmpty,解析结果为空
collection.parseFailed,链接解析失败
collection.identified,已识别：{name}
collection.duplicateWarning,该链接已收藏过：{title}
collection.titleDuplicateWarning,已存在同名收藏：{title}（仍可保存）
collection.titleStar,标题 *
collection.enterTitle,输入标题
collection.noTitle,无标题
collection.coverUrlOptional,封面URL（可选）
collection.supportedPlatforms,支持的平台
collection.collapse,收起
collection.viewAll,查看全部 ({count})
collection.ecommerce,电商
collection.morePlatforms,等{count}个平台
collection.saveCollection,保存收藏
collection.detail.note,备注
collection.detail.tags,标签
collection.detail.groups,分组
collection.detail.openLink,打开链接
collection.detail.edit,编辑
collection.detail.delete,删除
cover.modeAi,AI 封面
cover.modeLibrary,我的封面
cover.uploadShareHint,自定义上传封面仅自己可见，分享时将自动使用品牌色封面。
group.management,分组管理
group.newGroup,新建分组
group.newSubGroup,新建子分组
group.editGroup,编辑分组
group.groupName,分组名称
group.description,描述（可选）
group.noGroups,暂无分组
group.nameExists,"分组""{name}""已存在，是否继续创建？（将自动重命名）"
group.nameExistsAuto,"分组名""{originalName}""已存在，已自动重命名为""{newName}"""
group.deleteConfirm,"删除分组""{name}""？其中的收藏将转移到默认分组。"
group.deleteConfirmWithChildren,"删除分组""{name}""？其中的收藏将转移到默认分组，子分组将提升到父级。"
group.deleteSuccessWithChildren,删除成功，{count} 个子分组已提升到父级。
group.defaultGroupNoDelete,默认分组不可删除
group.defaultName,我的收藏
group.groupNotFound,分组不存在
group.fetchFailed,获取分组失败
group.createFailed,创建失败
group.updateFailed,更新失败
group.deleteFailed,删除分组失败
group.nameRequired,请输入分组名称
group.nameLength,分组名1-30字符
group.nameExistsShort,分组名已存在
group.viewInCollections,在收藏页查看
group.collectionCount,{count} 个收藏
group.save,保存
group.continueCreate,继续创建
group.createFailedShort,创建失败
group.loading,加载中...
group.noCollectionsInGroup,暂无收藏
group.subGroupOf,隶属于
group.directCount,{count} 个直接
group.noGroupsHint,点击右下角创建分组
share.shareLinks,分享链接
share.createShare,创建分享
share.openShare,打开分享
share.noShares,暂无分享链接
share.createFirstHint,点击右下角创建分享
share.iCreated,我创建的
share.iReceived,获取的分享
share.noReceived,暂无获取的分享
share.receivedFromOthers,从其他用户的分享中保存
share.fromShare,来自分享
share.deleteCollectionConfirm,"删除合集""{name}""及其中的所有收藏？此操作不可撤销。"
share.collectionDeleted,合集已删除
share.disabled,已停用
share.disable,停用
share.enable,启用
share.deleteShareConfirm,"删除后分享链接将失效，确定要删除""{title}""吗？"
share.openShareLink,打开分享链接
share.enterShareCode,粘贴 LinkChest 分享链接，即可查看内容
share.pasteShareLink,粘贴分享链接
share.unrecognizedShare,未检测到 LinkChest 分享链接，请输入正确的分享链接
share.unrecognizedTitle,无法识别
share.shareNotExist,该分享不存在或已失效
share.selfShareHint,这是您自己创建的分享，无需在此打开
share.viewShare,查看
share.copy,复制
share.typeAll,全部收藏
share.typeGroup,分组
share.typeGroups,分组
share.typeTag,标签
share.typeTags,标签
share.typeMultiGroup,多分组
share.typeMultiTag,多标签
share.typeCollection,收藏
share.typeCollections,多收藏
share.typeCustom,自定义
share.itemCount,{count} 个收藏
share.viewCount,{count} 次浏览
share.password,密码：{password}
share.copyPassword,复制
share.passwordCopied,密码已复制
share.copyFailed,复制失败
share.linkCopied,分享链接已生成
share.pleaseInputLink,请输入链接
share.openBtn,打开
share.shareLinkDeleted,分享链接已删除
share.fromShareLabel,来自分享
share.clipboardDetected,检测到分享链接
share.clipboardDetectedDesc,剪贴板中包含 LinkChest 分享，是否立即查看？
share.importShare,一键导入
share.author,作者
share.uvCount,{count} 次浏览
share.create.title,创建分享
share.create.shareName,分享名称
share.create.shareNamePlaceholder,给分享取个名字（可选）
share.create.selectRange,选择分享范围
share.create.allCollections,全部收藏
share.create.shareAll,分享所有
share.create.collection,收藏
share.create.multiSelectCollections,多选收藏
share.create.group,分组
share.create.multiSelectGroups,多选分组
share.create.tag,标签
share.create.multiSelectTags,多选标签
share.create.selectCollections,选择收藏
share.create.selectedCount,已选 {count} 个
share.create.searchCollections,搜索收藏...
share.create.noMatchCollections,未找到匹配的收藏
share.create.noCollections,暂无收藏
share.create.selectGroups,选择分组
share.create.selectTags,选择标签
share.create.pleaseSelectGroup,请至少选择一个分组
share.create.pleaseSelectTag,请至少选择一个标签
share.create.pleaseSelectCollection,请至少选择一个收藏
share.create.groupShare,分组分享
share.create.groupsShare,{count}个分组分享
share.create.tagShare,标签分享
share.create.tagsShare,{count}个标签分享
share.create.collectionShare,{count}个收藏分享
share.create.advancedSettings,高级设置
share.create.validity,有效期
share.create.1hour,1小时
share.create.24hours,24小时
share.create.7days,7天
share.create.forever,永久
share.create.accessPassword,访问密码（可选）
share.create.passwordPlaceholder,4-20位密码
share.create.remark,备注说明（可选）
share.create.remarkPlaceholder,给分享添加备注...
share.create.generateLink,生成分享链接
share.create.linkGenerated,分享链接已生成
share.create.passwordSet,已设置访问密码
share.create.validityPeriod,有效期：{period}
share.create.copyLink,复制链接
share.create.done,完成
share.create.createFailed,创建失败
share.create.viewPasswordAnytime,您可随时在分享管理中查看密码
share.create.accessPasswordLabel,访问密码
share.view.savedToNewGroup,已保存到新分组
share.view.saveFailed,保存失败
share.view.shareExpired,分享已过期
share.view.shareExpiredDesc,该分享链接已超过有效期
share.view.shareNotFound,分享链接不存在或已失效
share.view.loading,加载中...
share.view.needPassword,需要密码才能保存
share.view.needPasswordDesc,该分享已设置密码，请输入密码后保存
share.view.enterPassword,输入访问密码
share.view.pleaseEnterPassword,请输入密码
share.view.confirmSave,确认保存
share.view.passwordRequired,此分享需要密码
share.view.passwordRequiredDesc,请输入密码查看完整内容
share.view.verifyPassword,验证密码
share.view.passwordWrong,密码错误，请重新输入
share.view.contentLocked,内容已加密
share.view.undo,撤销
share.view.saveToMyCollections,一键保存到我的收藏
share.view.shareThisLink,分享此链接
share.view.noContent,暂无收藏内容
share.view.noContentHint,此分享暂无收藏内容
share.view.clickToOpen,点击打开
share.view.generatedBy,由 LinkChest 生成
share.view.validUntil,有效期至 {date}
share.view.passwordSet,已设置密码
share.view.openFailed,无法打开此链接，请尝试手动复制打开
share.view.loadFailed,加载失败
share.view.importConfirmTitle,确认导入收藏
share.view.importConfirmDesc,分享共 {total} 个收藏，其中 {duplicate} 个已存在，{new} 个新增。重复收藏将关联到新分组。
share.view.importListLimitReached,分组数量已达上限
share.view.importListLimitReachedDesc,当前已有 {current}/{limit} 个分组，请先整理后再导入。
share.view.importCollectionLimitReached,收藏数量已达上限
share.view.importCollectionLimitReachedDesc,继续导入将超过收藏上限（{current}/{limit}）。
share.view.importAlreadyImported,已导入过此分享
share.view.importAlreadyImportedDesc,该分享已保存到「{name}」，不可重复导入。
share.view.importBtn,确认导入
share.view.checkFailed,检查失败，请稍后重试
share.management.passwordAccess,密码：{password}
share.management.shareLinkDeleted,分享链接已删除
share.management.deleteFailed,删除失败
edit.title,编辑收藏
edit.platform,平台
edit.originalLink,原链接
edit.titleField,标题 *
edit.enterVideoTitle,输入视频标题
edit.coverImageLink,封面图片链接
edit.coverImageUrl,输入封面图片URL
edit.note,备注（最多100字）
edit.addNote,添加备注...
edit.tags,标签
edit.groupField,所属分组 *
edit.groupRequired,所属分组 *
edit.pleaseSelectGroup,请选择一个分组
edit.saveChanges,保存修改
edit.saveSuccess,收藏已更新
edit.updateFailed,更新失败
edit.enterTitle,请输入标题
edit.coverUrlTab,链接
edit.coverUploadTab,上传
edit.coverGradientTab,渐变色
edit.coverLibraryTab,我的
edit.systemCoverTab,系统
edit.coverAiTab,AI封面
edit.randomCover,随机
edit.noCoversInLibrary,暂无封面
edit.uploadToSeeHere,上传封面后将显示在这里
edit.tapToUpload,点击上传
edit.coverUploadHint,建议 2MB 以内，服务端将压缩至 80KB 以下
edit.tapToSelectGradient,点击选择此渐变色
edit.aiComingSoon,智能封面功能即将上线
edit.preview,预览
edit.coverSizeLimit,图片大小不能超过 5MB
edit.uploadFailed,上传失败
edit.refreshCover,刷新封面
edit.refreshingCover,正在刷新...
edit.refreshCoverSuccess,封面已刷新
edit.refreshCoverFailed,刷新封面失败
edit.syncCover,同步封面
edit.syncingCover,正在同步...
edit.syncCoverSuccess,封面已同步
edit.syncCoverSame,封面与源相同，无需同步
edit.syncCoverFailed,同步封面失败
profile.user,用户
profile.collections,收藏
profile.groups,分组
profile.shares,分享
profile.tags,标签
profile.shareViews,分享浏览
profile.dataManagement,数据管理
profile.tagManagement,标签管理
profile.platformStats,平台统计
profile.darkMode,深色模式
profile.lightMode,浅色模式
profile.followSystem,跟随系统
profile.dark,深色
profile.light,浅色
profile.other,其他
profile.feedback,意见反馈
profile.feedbackDev,如无法打开邮件客户端，请手动发送反馈至 support@linkchest.net
profile.logout,退出登录
profile.logoutConfirm,确定要退出登录吗？
profile.logoutBtn,退出
profile.accountSettings,账号设置
profile.language,语言
profile.languageZh,中文
profile.languageEn,English
profile.languageJa,日本語
profile.languageKo,한국어
profile.languageFr,Français
profile.checkUpdate,检查更新
profile.updateDesc,请选择更新方式
profile.downloadApk,下载更新
profile.openStoreFailed,无法打开应用商店，请手动前往 Google Play 搜索 LinkChest
profile.openDownloadFailed,无法打开下载页面，请访问 https://linkchest.net/download?lang=zh
account.username,用户名
account.notSet,未设置
account.nicknameFallback,Google 用户
account.password,密码
account.googleEmailLocked,Google 登录邮箱不可修改
account.set,已设置
account.email,邮箱
account.notBound,未绑定
account.serverAddress,服务器地址
account.serverWarning,高级设置，修改后可能无法连接
account.setUsername,设置用户名
account.usernamePlaceholder,2-20位字母、数字、下划线或中文
account.changePassword,修改密码
account.setPassword,设置密码
account.oldPassword,旧密码
account.newPassword,新密码
account.passwordHint,至少8位，包含英文大小写和数字
account.confirmNewPassword,确认新密码
account.changeEmail,修改邮箱
account.bindEmail,绑定邮箱
account.enterEmail,请输入邮箱地址
account.changePhone,换绑手机号
account.newPhone,新手机号
account.verificationCode,验证码
account.enterCode,验证码
account.changePhoneBtn,换绑
account.serverExample,例如：http://192.168.0.104:3001
account.serverWarningDetail,⚠️ 仅在开发调试时修改，错误配置将导致无法连接服务器
account.serverHint,输入服务器地址（不含 /api 后缀）
account.resetDefault,恢复默认
account.passwordSetSuccess,密码设置成功
account.setPasswordFailed,设置密码失败
account.passwordChangedSuccess,密码修改成功
account.changePasswordFailed,修改密码失败
account.yourCodeIs,"您的验证码是：{code}
（当前无短信服务，验证码直接显示）"
account.codeSent,验证码已发送
account.sendCodeFailed,发送验证码失败
account.enterUsername,请输入用户名
account.usernameChanged,用户名修改成功
account.enterEmailHint,请输入邮箱
account.emailBound,邮箱绑定成功
account.fillComplete,请填写完整
account.passwordMismatch,两次密码不一致
account.enterServerAddress,请输入服务器地址
account.serverUpdated,服务器地址已更新，请重新登录
account.serverSetFailed,设置失败
account.serverReset,已恢复默认服务器地址
account.serverResetFailed,重置失败
account.changeAvatar,更换头像
account.takePhoto,拍照
account.chooseFromAlbum,从相册选择
account.selectFromCover,从封面选择
account.deleteAvatarBtn,删除头像
account.deleteAvatar,删除头像
account.deleteAvatarConfirm,确定要删除头像吗？将恢复默认头像。
account.avatarUpdated,头像更新成功
account.avatarUploadFailed,头像上传失败
account.avatarDeleted,头像已删除
account.avatarDeleteFailed,头像删除失败
account.tapToChangeAvatar,点击更换头像
account.needPhotoPermission,需要相册权限才能选择头像
login.emailLogin,邮箱登录
login.enterCode,请输入验证码
login.getCode,获取验证码
login.loginRegister,登录 / 注册
login.codeHint,验证码将直接显示在弹窗中（当前无短信服务）
login.enterEmail,请输入邮箱
login.enterPassword,请输入密码
login.confirmPassword,确认密码
login.register,注册
login.login,登录
login.hasAccount,已有账号？去登录
login.noAccount,没有账号？去注册
login.yourCodeIs,"您的验证码是：{code}
（当前无短信服务，验证码直接显示）"
login.codeSent,验证码已发送
login.sendCodeFailed,发送验证码失败
login.loginFailed,登录失败
login.enterEmailAndPassword,请输入邮箱和密码
login.passwordMinLength,密码至少8位，且包含英文大小写和数字
login.passwordMismatch,两次密码不一致
login.accountPlaceholder,邮箱
login.password,密码
login.forgotPassword,忘记密码？
login.termsNotice,登录即表示同意《服务条款》和《隐私政策》
login.termsPrefix,登录即表示同意
login.termsLink,《服务条款》
login.termsAnd,和
login.privacyLink,《隐私政策》
login.termsSuffix,
login.otherLoginMethods,其他登录方式
login.googleLoginFailed,Google 登录失败，请重试
login.googleSetPasswordPrompt,检测到您通过 Google 登录，建议设置独立密码，以便日后使用邮箱+密码直接登录
login.googleSetPasswordWarning,为了账户安全，建议不要与您的 Google 账户密码一致
login.emailRegister,邮箱注册
login.fillAllFields,请填写所有字段
login.enterAccountAndPassword,请输入邮箱和密码
login.invalidAccountFormat,请输入有效的邮箱地址
login.invalidEmailFormat,请输入有效的邮箱地址
login.confirmNewPassword,确认新密码
login.newPassword,新密码
login.resetPassword,重置密码
login.forgotPasswordHint,请输入验证码设置新密码
terms.title,服务条款
terms.titleAndPrivacy,服务条款&隐私政策
privacy.title,隐私政策
tag.newTag,新建标签
tag.editTag,编辑标签
tag.tagName,标签名称
tag.noTags,暂无标签
tag.nameExists,"标签""{name}""已存在，是否继续创建？（将自动重命名）"
tag.tagNameExistsAuto,"标签名""{originalName}""已存在，已自动重命名为""{name}"""
tag.createFailed,创建失败
tag.updateFailed,更新失败
tag.enterTagName,请输入标签名称
tag.nameDuplicate,名称重复
tag.continueCreate,继续创建
tag.confirmDeleteTag,"删除标签""{name}""？该标签将从所有收藏中移除。"
tag.collectionCount,{count} 个收藏
tag.noTagsHint,用标签给你的收藏打上关键词
platform.distribution,平台分布
platform.supported,支持的平台
platform.loading,加载中...
platform.noData,暂无收藏数据
platform.ecommerce,电商
add.addedSuccess,收藏已添加
add.addFailed,添加失败
add.parseResultEmpty,解析结果为空
add.parseFailed,链接解析失败
add.pleaseEnterLinkAndTitle,请填写链接和标题
add.linkOrShareText,内容链接 *
add.pasteLinkPlaceholder,粘贴链接或APP分享文本
add.autoDetectedAs,已识别：{platform}
add.duplicateWarning,该链接已收藏过：{title}
add.titleDuplicateWarning,已存在同名收藏：{title}
add.canStillSave,（仍可保存）
add.noTitle,无标题
add.titleField,标题 *
add.enterTitle,输入标题
add.tags,标签
add.selectGroup,选择分组
add.selectTags,选择标签
add.selectedTags,已选
add.noteField,备注（可选）
add.coverImagePlaceholder,封面URL（可选）
add.supportedPlatforms,支持的平台
add.platformCount,等{count}个平台
add.saveCollection,保存收藏
add.createTag,创建标签
add.createGroup,创建分组
add.tagNamePlaceholder,输入标签名
add.groupNamePlaceholder,输入分组名
add.detected,已检测到平台信息
add.quickSelectPlatform,快速选择平台
add.viewMorePlatforms,查看更多平台
add.collapseMorePlatforms,收起更多平台
add.levelPlatforms,级平台
settings.ecommerce,电商
settings.collapse,收起
settings.viewAll,查看全部
common.loading,加载中...
common.loadMore,加载更多...
common.retry,重试
common.save,保存
common.cancel,取消
common.confirm,确认
common.delete,删除
common.edit,编辑
common.close,关闭
common.undo,撤销
common.operationFailed,操作失败
common.deleteSuccess,删除成功
common.updateSuccess,更新成功
common.createSuccess,创建成功
common.error,错误
common.hint,提示
common.success,成功
common.collapse,收起
common.expandAll,全部展开
common.collapseAll,全部折叠
common.viewAll,查看全部
common.errorOccurred,应用出错了
common.unknownError,发生了未知错误
common.serverBusy,服务器繁忙
common.tryLater,请稍后再试
common.requestTimeout,请求超时
common.networkError,网络连接失败
common.checkNetwork,请检查网络设置
common.noAccess,无权访问
common.rateLimited,请求过于频繁，请稍后再试
common.search,搜索
tier.title,等级与套餐
tier.currentPlan,当前套餐
tier.upgrade,升级套餐
tier.benefits,权益说明
tier.limits,配额详情
tier.comparePlans,套餐对比
tier.upgradeHint,选择适合你的套餐
tier.monthly,月付
tier.yearly,年付
tier.free,免费
tier.current,当前
tier.expires,到期
tier.collections,收藏数量
tier.tags,标签数量
tier.lists,分组数量
tier.shares,分享数量
tier.shareItems,分享项数量
tier.coverImages,封面数量
tier.maxItemsPerShare,单次分享上限
tier.dailyImportLimit,每日导入上限
tier.perMonth,/月
tier.perYear,/年
tier.tierManagement,等级管理
error.unknown,发生了未知错误
error.server,服务器错误，请稍后重试
error.verificationSendTooFrequent,发送太频繁，请60秒后重试
error.verificationExpired,验证码已过期，请重新获取
error.verificationInvalid,验证码错误
error.verificationAttemptsExceeded,验证码错误次数过多，请重新获取
error.accountNotFound,该账号未注册，请先注册
error.passwordIncorrect,密码错误
error.accountNotSetPassword,该账号未设置密码
error.accountGoogleNoPassword,该账户通过 Google 登录，请使用 Google 登录后设置密码
error.emailSendFailed,验证码邮件发送失败，请稍后重试
error.invalidGoogleToken,Google 令牌无效
error.emailAlreadyRegistered,该邮箱已被注册
error.usernameAlreadyExists,用户名已被使用
error.usernameContainsBannedWords,用户名包含违禁词
error.invalidEmailFormat,请输入有效的邮箱地址
error.invalidPasswordFormat,密码至少8位，且包含英文大小写和数字
error.passwordMismatch,两次密码不一致
error.usernameInvalidFormat,用户名2-20位字母、数字、下划线或中文
error.tokenInvalid,登录已过期，请重新登录
error.tokenExpired,登录已过期，请重新登录
error.unauthorized,未授权，请重新登录
error.userNotFound,用户不存在
error.googleEmailCannotChange,Google 登录用户的邮箱不可修改
error.quotaExceeded,资源配额已超出限制，请升级账户或删除部分数据
